Setup title	pulsedAmplitudeSweep_DCIV
test date	19.09.2024
test time	11:50:18
Device ID	LBE247_ID305ZR500Oct
Count	0
TriggerOutput	0
TriggerPolarity	positive
Measurement parameters
groundWGFMU,pulseWGFMU,startVolage1,endVoltage1,startVolage2,endVoltage2,stepSize,riseTime,fallTime,pulseWidth,pulseDelay,VpreCond1,VpreCond2,riseTimePrecond,fallTimePrecon,pulseWidthPreCond,bothSides,repetitions,preConEveryLoop,groundVoltageDuringPulse,measName,
SMU2,WGFMU1,0.000000,3.000000,0.000000,-2.000000,0.100000,0.000000020,0.000000020,0.000500000,0.001000000,0.000000,0.000000,0.000100000,0.000100000,0.005000000,1,3,0,0.000000,5e-4s-3V-m2V,
Measurement Data
index, pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,  0.000,275110732069.658,331718967690.573
    1,  0.100,264844536257.217,280796338415.747
    2,  0.200,243291243948.130,293875631832.608
    3,  0.300,252289527461.715,286491906603.638
    4,  0.400,258973429326.151,284721826775.241
    5,  0.500,253639730127.327,296515937731.653
    6,  0.600,144345968417.102,194560099614.771
    7,  0.700,155154223297.958,188100746759.965
    8,  0.800,159535432819.629,197515258053.685
    9,  0.900,132144037000.330,168248199744.263
   10,  1.000,135257598095.573,172250452157.437
   11,  1.100,142362940079.439,180694590003.975
   12,  1.200,141795700754.353,173115208171.038
   13,  1.300,      -1.000,      -1.000
