Setup title	pulsedAmplitudeSweep_DCIV
test date	19.09.2024
test time	16:01:19
Device ID	LBE247_ID301XR1000Oct
N	2
Measurement Data
index, pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,  0.000,2460629921.260,2725538293.813
    1,  0.100,2454590083.456,2718129926.610
    2,  0.200,2463661000.246,2714440825.190
    3,  0.300,2456398919.184,2721088435.374
    4,  0.400,2466699555.994,2721088435.374
    5,  0.500,2473410833.539,2715177844.149
    6,  0.600,2471576866.041,2715915263.444
    7,  0.700,2464268112.371,2711496746.204
    8,  0.800,2471576866.041,2721088435.374
    9,  0.900,2471576866.041,2724053391.446
   10,  1.000,2488800398.208,2730748225.014
   11,  1.100,2490660024.907,2745744096.650
   12,  1.200,2500000000.000,2752546105.147
   13,  1.300,2510040160.643,2769315978.953
   14,  1.400,2536783358.701,2790178571.429
   15,  1.500,2596728122.566,2862049227.247
   16,  1.600,2665955745.135,2939447383.892
   17,  1.700,2784739626.845,3071253071.253
   18,  1.800,3090234857.849,3405994550.409
   19,  1.900,3333333333.333,3696857670.980
   20,  2.000,3495281370.150,3834355828.221
   21,  2.100,3602305475.504,3971405877.681
   22,  2.200,3770739064.857,4180602006.689
   23,  2.300,3907776475.186,4393673110.721
   24,  2.400,3930817610.063,4444444444.444
   25,  2.500,3785011355.034,4290004290.004
   26,  2.600,3855050115.652,4327131112.073
   27,  2.700,3827018752.392,4363001745.201
   28,  2.800,3912363067.293,4319654427.646
   29,  2.900,3838771593.090,4323389537.397
   30,  3.000,3998400639.744,4438526409.232
   31,  3.100,4158004158.004,4574565416.285
   32,  3.200,4476275738.585,5007511266.900
   33,  3.300,4835589941.973,5408328826.393
   34,  3.400,5467468562.056,6215040397.763
   35,  3.500,5934718100.890,6711409395.973
   36,  3.600,6849315068.493,7686395080.707
   37,  3.700,7215007215.007,8051529790.660
   38,  3.800,7656967840.735,8643042350.908
   39,  3.900,9276437847.866,10131712259.372
   40,  4.000,10559662090.813,11428571428.571
   41,  4.100,11695906432.749,12836970474.968
   42,  4.200,13495276653.171,14306151645.207
   43,  4.300,13736263736.264,14409221902.017
   44,  4.400,15898251192.369,16694490818.030
   45,  4.500,17331022530.329,18050541516.245
   46,  4.600,17123287671.233,18587360594.796
   47,  4.700,18248175182.482,19193857965.451
   48,  4.800,18214936247.723,19723865877.712
   49,  4.900,19011406844.106,20449897750.511
   50,  5.000,19646365422.397,21321961620.469
   51,  4.900,19120458891.013,20408163265.306
   52,  4.800,17482517482.517,19417475728.155
   53,  4.700,17211703958.692,18656716417.910
   54,  4.600,18518518518.519,20161290322.581
   55,  4.500,18726591760.300,20325203252.033
   56,  4.400,18796992481.203,20283975659.229
   57,  4.300,18315018315.018,20325203252.033
   58,  4.200,19267822736.031,20876826722.338
   59,  4.100,18656716417.910,20618556701.031
   60,  4.000,17574692442.882,20161290322.581
   61,  3.900,18416206261.510,20491803278.689
   62,  3.800,19493177387.914,20920502092.050
   63,  3.700,20040080160.321,21231422505.308
   64,  3.600,19960079840.319,21551724137.931
   65,  3.500,20120724346.076,21276595744.681
   66,  3.400,20040080160.321,21367521367.521
   67,  3.300,20120724346.076,21691973969.631
   68,  3.200,20161290322.581,21645021645.022
   69,  3.100,20366598778.004,21321961620.469
   70,  3.000,20161290322.581,21276595744.681
   71,  2.900,20242914979.757,21459227467.811
   72,  2.800,20408163265.306,21321961620.469
   73,  2.700,20449897750.511,21186440677.966
   74,  2.600,20449897750.511,21459227467.811
   75,  2.500,20408163265.306,21645021645.022
   76,  2.400,20703933747.412,21551724137.931
   77,  2.300,20449897750.511,21881838074.398
   78,  2.200,20576131687.243,21691973969.631
   79,  2.100,20491803278.689,21834061135.371
   80,  2.000,20325203252.033,21786492374.728
   81,  1.900,20449897750.511,21551724137.931
   82,  1.800,20661157024.793,21459227467.811
   83,  1.700,20449897750.511,21505376344.086
   84,  1.600,20703933747.412,21691973969.631
   85,  1.500,20325203252.033,21691973969.631
   86,  1.400,20746887966.805,22075055187.638
   87,  1.300,20876826722.338,21786492374.728
   88,  1.200,20408163265.306,21739130434.783
   89,  1.100,20533880903.491,21551724137.931
   90,  1.000,20790020790.021,21739130434.783
   91,  0.900,20703933747.412,22271714922.049
   92,  0.800,20833333333.333,21786492374.728
   93,  0.700,20746887966.805,21881838074.398
   94,  0.600,20661157024.793,21978021978.022
   95,  0.500,21008403361.345,21929824561.404
   96,  0.400,20790020790.021,21978021978.022
   97,  0.300,20920502092.050,22172949002.217
   98,  0.200,20876826722.338,22271714922.049
   99,  0.100,20746887966.805,22222222222.222
  100,  0.000,21097046413.502,22172949002.217
  101,  0.000,21459227467.811,22522522522.523
  102, -0.100,21097046413.502,22624434389.140
  103, -0.200,21052631578.947,22371364653.244
  104, -0.300,21505376344.086,22271714922.049
  105, -0.400,21097046413.502,22779043280.182
  106, -0.500,21321961620.469,22522522522.523
  107, -0.600,21141649048.626,22624434389.140
  108, -0.700,21276595744.681,22222222222.222
  109, -0.800,21008403361.345,22727272727.273
  110, -0.900,21141649048.626,22371364653.244
  111, -1.000,20449897750.511,21929824561.404
  112, -1.100,20449897750.511,21786492374.728
  113, -1.200,20366598778.004,21551724137.931
  114, -1.300,19417475728.155,20618556701.031
  115, -1.400,17152658662.093,18416206261.510
  116, -1.500,15797788309.637,17301038062.284
  117, -1.600,11695906432.749,13020833333.333
