Setup title	IV_measR
test date	24.10.2024
test time	10:39:49
Device ID	_ID161ZR15000
Count	33
Pulse amplitude	1.090000
Pulse width	0.002000000
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU3,PLC,4,0.000000,-0.100000,0.100000,0.000000,4,0.100000,2em3s,
Measurement Data
Index, Bias, SMU3 I (nA), SMU3 R (Mohm)
 0, -0.100000, -6.583850000000, 15.188681
 1, -0.033325, -1.726760000000, 19.299150
 2, 0.033325, 1.632750000000, 20.410351
 3, 0.100000, 5.551360000000, 18.013604
