Setup title	pulsedAmplitudeSweep_DCIV
test date	24.10.2024
test time	13:26:51
Device ID	_ID170ZR5000
Count	0
TriggerOutput	0
TriggerPolarity	positive
Measurement parameters
groundWGFMU,pulseWGFMU,startVolage1,endVoltage1,startVolage2,endVoltage2,stepSize,riseTime,fallTime,pulseWidth,pulseDelay,VpreCond1,VpreCond2,riseTimePrecond,fallTimePrecon,pulseWidthPreCond,bothSides,repetitions,preConEveryLoop,groundVoltageDuringPulse,measName,
SMU2,WGFMU1,0.400000,4.100000,-0.500000,-3.300000,0.041000,0.000000020,0.000000020,0.000000200,0.001000000,0.000000,0.000000,0.000100000,0.000100000,0.005000000,0,2,0,0.000000,2em7s,
Measurement Data
index, pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,  0.400,122715949.392,142318366.185
    1,  0.441,122756622.720,142371047.424
    2,  0.482,122819945.959,142346728.160
    3,  0.523,122915053.407,142391319.825
    4,  0.564,122919586.007,142439997.151
    5,  0.605,123075408.303,142553707.109
    6,  0.646,123341062.707,142861224.606
    7,  0.687,123665953.526,143387677.263
    8,  0.728,124263737.356,143932524.433
    9,  0.769,125140783.381,144898136.610
   10,  0.810,126092274.326,145970484.768
   11,  0.851,127531500.281,147784707.238
   12,  0.892,129187282.804,149882342.361
   13,  0.933,131254265.764,152476213.711
   14,  0.974,133888524.415,155763239.875
   15,  1.015,136735307.791,159048255.241
   16,  1.056,140262290.483,163212012.404
   17,  1.097,144761794.467,168617003.339
   18,  1.138,150143386.935,174996500.070
   19,  1.179,155038759.690,180835096.476
   20,  1.220,161360592.516,188231750.932
   21,  1.261,167294019.239,195495777.291
   22,  1.302,173559886.839,202794508.325
   23,  1.343,180134740.786,210761481.232
   24,  1.384,186581088.141,217812724.619
   25,  1.425,193922469.797,227190112.686
   26,  1.466,202922077.922,237551132.881
   27,  1.507,211479084.719,247282978.276
   28,  1.548,222518914.108,260760952.612
   29,  1.589,234929286.285,275053979.343
   30,  1.630,246730816.679,290511881.936
   31,  1.671,260742594.910,306740938.873
   32,  1.712,274987419.326,325041524.055
   33,  1.753,289059112.589,342243061.022
   34,  1.794,300860460.918,357168369.169
   35,  1.835,315109500.551,374517808.322
   36,  1.876,327729164.618,390472471.691
   37,  1.917,341022248.291,406704110.558
   38,  1.958,352373233.729,420839996.633
   39,  1.999,364205849.146,435710862.272
   40,  2.040,376357238.291,450168588.136
   41,  2.081,384644972.690,458846093.843
   42,  2.122,392541707.556,469966773.349
   43,  2.163,401095793.708,478787327.457
   44,  2.204,409108389.177,488878024.933
   45,  2.245,417798203.468,500095018.053
   46,  2.286,424379768.968,506624110.241
   47,  2.327,429872714.689,515304544.986
   48,  2.368,437849458.599,524824183.898
   49,  2.409,442094466.746,530003498.023
   50,  2.450,448881387.582,539124246.574
   51,  2.491,453504455.681,544256192.275
   52,  2.532,455524832.936,546606394.202
   53,  2.573,460494202.378,553317692.887
   54,  2.614,465027599.388,557509937.615
   55,  2.655,468836441.719,559691050.540
   56,  2.696,473070463.846,566065505.100
   57,  2.737,475952499.941,569365840.327
   58,  2.778,481602774.032,576734529.096
   59,  2.819,480228973.174,575847791.912
   60,  2.860,482527672.962,579962302.450
   61,  2.901,484571251.357,579152815.262
   62,  2.942,487662147.664,582051849.179
   63,  2.983,488717946.212,581811411.649
   64,  3.024,489198497.182,587695996.615
   65,  3.065,491311162.098,589473187.812
   66,  3.106,496359205.230,595199123.867
   67,  3.147,496748779.240,595231009.155
   68,  3.188,498992036.087,594053524.223
   69,  3.229,500974395.199,599049906.848
   70,  3.270,502176937.022,602979926.798
   71,  3.311,504077990.947,599031964.346
   72,  3.352,505055606.622,604525477.726
   73,  3.393,506701122.343,605741215.238
   74,  3.434,508623715.089,604847245.828
   75,  3.475,512712711.686,609280561.513
   76,  3.516,513094163.041,611602091.679
   77,  3.557,514104455.743,614171390.668
   78,  3.598,517477813.139,621979511.995
   79,  3.639,517917350.749,619064717.026
   80,  3.680,522474228.959,627470665.746
   81,  3.721,526692790.629,632939434.026
   82,  3.762,529052942.328,637925975.070
   83,  3.803,520004576.040,620797973.715
   84,  3.844,531279054.323,639267654.974
   85,  3.885,536112540.745,639959042.621
   86,  3.926,542652485.348,651419116.545
   87,  3.967,552156724.165,664942249.766
   88,  4.008,562262092.852,677433340.559
   89,  4.049,564936642.356,682253893.964
   90,  4.090,574943942.966,686271145.730
   91, -0.500,576255949.843,699745992.205
   92, -0.541,576804388.328,692866249.099
   93, -0.582,576179583.653,695071939.946
   94, -0.623,574029746.221,691672949.363
   95, -0.664,569940213.272,686751869.682
   96, -0.705,565895728.053,677272758.058
   97, -0.746,559960578.775,673936191.721
   98, -0.787,551775890.704,664376781.360
   99, -0.828,542311113.039,648853475.908
  100, -0.869,531208499.336,635130328.743
  101, -0.910,516614316.416,620890481.128
  102, -0.951,500964356.386,597964528.744
  103, -0.992,481765187.648,576073368.704
  104, -1.033,455108133.693,542372881.356
  105, -1.074,430503775.518,515790939.616
  106, -1.115,398738391.729,476703499.957
  107, -1.156,364458050.878,434896059.842
  108, -1.197,331513325.178,392238386.802
  109, -1.238,296929746.422,352174678.641
  110, -1.279,265477328.236,314307266.784
  111, -1.320,238640702.558,281106547.815
  112, -1.361,217254339.655,255832992.223
  113, -1.402,201041394.423,236753634.168
  114, -1.443,188458784.064,220694525.672
  115, -1.484,177999288.003,209797545.369
  116, -1.525,170890510.450,201284193.152
  117, -1.566,165502631.492,194408802.831
